,Clinic Name,Distance and Status,Address,Location,Contact Info
0,Ang Mo Kio Polyclinic,,21 Ang Mo Kio Central 2,Singapore 569666,NHGP
1,Geylang Polyclinic,,21 Geylang East Central,Singapore 389707,NHGP
2,Hougang Polyclinic,,89 Hougang Avenue 4,Singapore 538829,NHGP
3,Kallang Polyclinic,,701 Serangoon Road,Singapore 328263,NHGP
4,Sembawang Polyclinic,,21 Canberra Link #01-03,Singapore 756973,NHGP
5,Toa Payoh Polyclinic,,2003 Toa Payoh Lor 8,Singapore 319260,NHGP
6,Woodlands Polyclinic,,10 Woodlands Street 31,Singapore 738579,NHGP
7,Yishun Polyclinic,,2 Yishun Ave 9,Singapore 768898,NHGP
8,Bukit Batok Polyclinic,,50 Bukit Batok West Ave 3,Singapore 659164,NUP
9,Bukit Panjang Polyclinic,,50 Woodlands Rd #03-02,Singapore 677726,NUP
10,Choa Chu Kang Polyclinic,,2 Teck Whye Cres,Singapore 688846,NUP
11,Clementi Polyclinic,,451 Clementi Ave 3 #02-307,Singapore 120451,NUP
12,Jurong Polyclinic,,190 Jurong East Avenue 1,Singapore 609788,NUP
13,Pioneer Polyclinic,,26 Jurong West Street 61,Singapore 648201,NUP
14,Queenstown Polyclinic,,580 Stirling Road,Singapore 148958,NUP
15,Bedok Polyclinic,,Heartbeat@Bedok 11 Bedok North Street 1 #02-01/#03-01,Singapore 469662,SHP
16,Bukit Merah Polyclinic,,Blk 163 Bukit Merah Central #04-3565,Singapore 150163,SHP
17,Eunos Polyclinic,,1 Chin Cheng Avenue,Singapore 429400,SHP
18,Marine Parade Polyclinic,,Blk 80 Marine Parade Central #01-792,Singapore 440080,SHP
19,Outram Polyclinic,,3 Second Hospital Avenue #02-00 Health Promotion Board Building,Singapore 168937,SHP
20,Pasir Ris Polyclinic,,1 Pasir Ris Drive 4 #01-11,Singapore 519457,SHP
21,Punggol Polyclinic,,681 Punggol Drive Oasis Terraces #02-01,Singapore 820681,SHP
22,Sengkang Polyclinic,,2 Sengkang Square #01-06 Sengkang Community Hub,Singapore 545025,SHP
23,Tampines Polyclinic,,1 Tampines Street 41,Singapore 529203,SHP
24,Tampines North Polyclinic,,35 Tampines Street 61,Singapore 528566,SHP
