,Clinic Name,Distance and Status,Address,Location,Contact Info
0,RafflesMedical (Eastpoint Mall),15.04 km - Closing in 2 hr 49 min,3 Simei St 6 #02-27 Eastpoint Mall,Singapore 528833,T +65 6636 1458
1,Calrose Medical Family Clinic,15.05 km - Closed,"231A Sumang Lane #01-05, Matilda Court",Singapore 821231,T +65 6957 1750
2,Chua Clinic & Surgery (Yishun St 81),15.08 km - Closing in 1 hr 49 min,844 Yishun St 81 #01-156,Singapore 760844,T +65 6752 1603
3,Joy Clinic & Surgery,15.08 km - Closing in 1 hr 49 min,844 Yishun St 81 #01-164,Singapore 760844,T +65 6753 0702
4,Northeast Medical Group (Simei),15.1 km - Closing in 8 hr 19 min,30 Simei Street 3 #02-01 Simei MRT Station,Singapore 529888,T +65 6783 8638
5,Emmanuel Medical Clinic,15.11 km - Closing in 1 hr 49 min,272 Tampines St 22 #01-26,Singapore 520272,T +65 6781 0810
6,Tampines Medical Centre,15.11 km - Closing in 1 hr 48 min,267 Tampines St 21 #01-41,Singapore 520267,T +65 6781 5111
7,My Family Clinic (Angsana Breeze @ Yishun),15.11 km - Closed,507 Yishun Ave 4 #01-05,Singapore 760507,T +65 6753 0178 F +65 6697 7755
8,K2 Medical Clinic,15.12 km - Closing in 6 hr 18 min,Blk 248 Simei Street 3 ##01-128,Singapore 520248,T +65 6588 1322 F +65 6536 1513
9,Healthway Medical Clinic (CCK Ave 3),15.13 km - Closing in 2 hr 18 min,475 Choa Chu Kang Ave 3 #02-03 Sunshine Place,Singapore 680475,T +65 6892 6330
10,Evercare Medical Clinic,15.13 km - Closing in 1 hr 48 min,475 Choa Chu Kang Ave 3 #02-02 Sunshine Place,Singapore 680475,T +65 6766 6465
11,Healthway Tampines Central Clinic,15.13 km - Closing in 0 hr 18 min,503 Tampines Central 1 #01-311,Singapore 520503,T +65 6789 0383
12,Platinum Medical Clinic And Surgery Pte Ltd,15.18 km - Closed,Blk 513 Yishun Street 51 #Saraca Breeze @ Yishun #01-03,Singapore 760513,T +65 6974 0800 F +65 6974 0799
13,Keat Hong Family Medicine Clinic,15.19 km - Closing in 2 hr 18 min,2 Choa Chu Kang Loop #03-02 Keat Hong Community Club,Singapore 689687,T +65 6769 0750
14,Care4Life Medical Clinic (Yishun),15.19 km - Closed,513 Yishun St 51 #01-03,Singapore 760513,T +65 6909 2259
15,Onedoctors Family Clinic (Yishun),15.23 km - Closing in 7 hr 18 min,846 Yishun Ring Road #01-3611,Singapore 760846,T +65 6257 8980 F +65 6257 8980
16,Silver Cross Family Clinic,15.23 km - Closing in 2 hr 18 min,846 Yishun Ring Road #01-3661,Singapore 760846,T +65 6759 9181
17,Lifeline Yishun Ring Medical Clinic,15.23 km - Closing in 1 hr 48 min,846 Yishun Ring Road #01-3615,Singapore 760846,T +65 6752 2017
18,Greenlink Medical Clinic,15.23 km - Closing in 0 hr 18 min,807 Yishun Ring Road #01-4213,Singapore 760807,T +65 6755 2238
19,Edgedale Medical Clinic,15.24 km - Closed,122 Edgedale Plains #01-187,Singapore 821122,T +65 6635 2272
