,Clinic Name,Distance and Status,Address,Location,Contact Info,Postal Code,Lat,Long
0,Changi General Hospital,,2 Simei St 3,Singapore 529889,67888833,529889,1.34082588501333,103.949465476094
1,KK Women's and Children's Hospital,,100 Bukit Timah Rd,Singapore 229899,62255554,229899,1.31044853153909,103.846650073396
2,Sengkang General Hospital,,110 Sengkang East Way,Singapore 544886,69305000,544886,1.39429941695084,103.893001329443
3,Singapore General Hospital,,Outram Rd,Singapore 169608,62223322,169608,1.28197419386318,103.836788922432
4,Khoo Tech Puat Hospital,,90 Yishun Central,Singapore 768828,65558000,768828,1.42408101871819,103.83857888869
5,Tan Tock Seng Hospital,,11 Jln Tan Tock Seng,Singapore 308433,62566011,308433,1.32060138242299,103.84559893864
6,Alexandra Hospital,,378 Alexandra Rd,Singapore 159964,69082222,159964,1.2867136665498,103.800862149263
7,National University Hospital,,5 Lower Kent Ridge Rd,Singapore 119074,69082222,119074,1.2944886015921,103.78368407095
8,Ng Teng Fong General Hospital,,1 Jurong East Street 21,Singapore 609606,69082222,609606,1.33260943666141,103.746634963937
9,Mount Alvernia Hospital,,820 Thomson Rd,Singapore 574623,63476688,574623,1.34170117945107,103.838686951021
10,Crawfurd Hospital,,19 Adam Rd,Singapore 289891,69333723,289891,1.32680246125855,103.813318177207
11,Farrer Park Hospital,,1 Farrer Park Station Road #02-01 Connexion,Singapore 217562,63631818,217562,1.31268266517513,103.853919389699
12,Gleneagles Hospital,,6A Napier Rd,Singapore 258500,65757575,258500,1.30742793176078,103.819605016421
13,Mount Elizabeth Hospital,,3 Mount Elizabeth,Singapore 228510,67372666,228510,1.30540799634699,103.835473484406
14,Mount Elizabeth Novena Hospital,,38 Irrawaddy Rd,Singapore 329563,68986898,329563,1.32214005436305,103.844212383833
15,Parkway East Hospital,,321 Joo Chiat Place,Singapore 427990,63773737,427990,1.31505155180489,103.908879589405
16,Raffles Hospital,,585 North Bridge Road Raffles Hospital,Singapore 188770,63112222,188770,1.30114329771677,103.857243718624
17,Thomson Medical Centre,,339 Thomson Road,Singapore 307677,62502222,307677,1.32536406305814,103.841448450064
18,Bright Vision Hospital,,5 Lorong Napiri,Singapore 547530,62485755,547530,1.37205969849503,103.878071534648
19,Outram Community Hospital,,10 Hospital Blvd,Singapore 168582,69703000,168582,1.27754387747302,103.835624220901
20,Sengkang Community Hospital,,1 Anchorvale St,Singapore 544835,69305000,544835,1.39572457045088,103.892640159741
21,Yishun Community Hospital,,2 Yishun Central 2,Singapore 768024,68078800,768024,1.4237674572872,103.837242211173
22,Jurong Community Hospital,,1 Jurong East Street 21,Singapore 609606,67162000,609606,1.33260943666141,103.746634963937
23,Ang Mo Kio - Thye Hua Kwan Hospital,,17 Ang Mo Kio Ave 9,Singapore 569766,64538033,569766,1.38401946148579,103.840355932686
24,Ren Ci Community Hospital,,71 Irrawaddy Rd,Singapore 329562,63850288,329562,1.3228845004622,103.845973302636
25,St. Andrew's Community Hospital,,8 Simei St 3,Singapore 529895,65861000,529895,1.34173365597121,103.948866250385
26,St Luke's Hospital,,2 Bukit Batok Street 11,Singapore 659674,65632281,659674,1.34950448942588,103.741889031011
27,Institute of Mental Health,,"10 Buangkok View, Buangkok Green Medical Park",Singapore 539747,63892000,539747,1.38211579491623,103.884815635642
